影片名字,封面图片,电影地址,演员以及类型,影片宣传语,热度,豆瓣评分
天空之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg,https://movie.douban.com/subject/1296141/,,比利·怀德满分作品。,131497人评价,9.6
6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,https://movie.douban.com/subject/1292052/,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,1135992人评价,9.6
肖申克的救赎,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,https://movie.douban.com/subject/1291546/,1994 / 美国 / 犯罪 剧情,风华绝代。,828577人评价,9.5
阿甘正传,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,https://movie.douban.com/subject/1292063/,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,最美的谎言。,523226人评价,9.5
这个杀手不太冷,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,https://movie.douban.com/subject/1292720/,,一部美国近现代史。,896777人评价,9.4
千与千寻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,https://movie.douban.com/subject/1295124/,,拯救一个人，就是拯救整个世界。,472929人评价,9.4
蝙蝠侠：黑暗骑士,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,https://movie.douban.com/subject/1293182/,,1957年的理想主义。 ,205107人评价,9.4
霸王别姬,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/,,怪蜀黍和小萝莉不得不说的故事。,1050603人评价,9.4
辛德勒的名单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,https://movie.douban.com/subject/3541415/,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,诺兰给了我们一场无法盗取的梦。,921153人评价,9.3
泰坦尼克号,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,https://movie.douban.com/subject/1291561/,,最好的宫崎骏，最好的久石让。 ,833153人评价,9.3
死亡诗社,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455222172.jpg,https://movie.douban.com/subject/3442220/,,海豚的微笑，是世界上最高明的伪装。,208207人评价,9.3
美丽人生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,https://movie.douban.com/subject/1292722/,1993 / 中国大陆 香港 / 剧情 爱情 同性,失去的才是永恒的。 ,833568人评价,9.3
机器人总动员,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,https://movie.douban.com/subject/3011091/,,永远都不能忘记你所爱的人。,587681人评价,9.3
盗梦空间,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,https://movie.douban.com/subject/2131459/,1994 / 法国 / 剧情 动作 犯罪,小瓦力，大人生。,607880人评价,9.3
6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,https://movie.douban.com/subject/1418019/,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,经典之作，历久弥新。,126161人评价,9.3
忠犬八公的故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,https://movie.douban.com/subject/3793023/,,英俊版憨豆，高情商版谢耳朵。,827014人评价,9.2
星际穿越,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,https://movie.douban.com/subject/5912992/,,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,343375人评价,9.2
无间道,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,https://movie.douban.com/subject/6786002/,1997 / 美国 / 剧情 爱情 灾难,满满温情的高雅喜剧。,446626人评价,9.2
岁月神偷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg,https://movie.douban.com/subject/1295399/,,时代悲歌。,88551人评价,9.2
十二怒汉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,https://movie.douban.com/subject/1291858/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...,对敌人的仁慈，就是对自己残忍。,284888人评价,9.2
三傻大闹宝莱坞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,https://movie.douban.com/subject/1292001/,导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,696238人评价,9.2
龙猫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,https://movie.douban.com/subject/1889243/,,爱是一种力量，让我们超越时空感知它的存在。,615781人评价,9.2
黑客帝国3：矩阵革命,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg,https://movie.douban.com/subject/1291568/,,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,57993人评价,9.2
海上钢琴师,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,https://movie.douban.com/subject/1291549/,1994 / 美国 / 剧情 爱情,天籁一般的童声，是最接近上帝的存在。 ,562663人评价,9.2
哈尔的移动城堡,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,https://movie.douban.com/subject/21937445/,,电影的现实意义大过电影本身。,264994人评价,9.2
钢琴家,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,https://movie.douban.com/subject/1303021/,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,奔跑的孩子是天使。,168023人评价,9.2
放牛班的春天,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,https://movie.douban.com/subject/1292213/,,一生所爱。,618152人评价,9.2
触不可及,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,https://movie.douban.com/subject/1300267/,,Tomorrow is another day.,320366人评价,9.2
楚门的世界,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,https://movie.douban.com/subject/1291841/,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,千万不要记恨你的对手，这样会让你失去理智。,417428人评价,9.2
初恋这件小事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2099815842.jpg,https://movie.douban.com/subject/1293908/,,永远的小人物，伟大的卓别林。,50529人评价,9.2
阿凡达,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,https://movie.douban.com/subject/1294371/,2009 / 美国 英国 / 动作 战争 科幻 冒险,大时代中的人生，小人物的悲喜。,107473人评价,9.2
重庆森林,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,https://movie.douban.com/subject/6985810/,,人言可畏。,156747人评价,9.1
指环王1：魔戒再现,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,https://movie.douban.com/subject/1291818/,,人生不能像做菜，把所有的料都准备好了才下锅。,243560人评价,9.1
英国病人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2238274168.jpg,https://movie.douban.com/subject/1292281/,,最美的飞翔。,55061人评价,9.1
天堂电影院,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,https://movie.douban.com/subject/1851857/,,无尽的黑暗。,406841人评价,9.1
狮子王,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,https://movie.douban.com/subject/1292262/,,往事如烟，无处祭奠。,204002人评价,9.1
少年派的奇幻漂流,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,https://movie.douban.com/subject/1291552/,,史诗的终章。,339310人评价,9.1
熔炉,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,https://movie.douban.com/subject/1307914/,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,香港电影史上永不过时的杰作。,503116人评价,9.1
情书,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,https://movie.douban.com/subject/21937452/,2001 / 美国 / 传记 剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,227448人评价,9.1
窃听风暴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,https://movie.douban.com/subject/1293350/,,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,314285人评价,9.1
罗马假日,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,https://movie.douban.com/subject/1900841/,,别样人生。,269763人评价,9.1
教父,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p537668599.jpg,https://movie.douban.com/subject/1291560/,1997 / 意大利 / 剧情 喜剧 爱情 战争,人人心中都有个龙猫，童年就永远不会消失。,513075人评价,9.1
